outcome	matched_k	g	sig_loci	sig_known	bg_loci	bg_known	p_sig	p_bg	fold	A_chance_corrected	fisher_p
Melanoma	NA	1	8	4	655	66	0.5	0.100763358778626	4.96212121212121	0.443972835314092	0.00484067292102242
Lung	NA	1	10	4	655	68	0.4	0.10381679389313	3.85294117647059	0.330494037478705	0.0138094424084657
Colorectal	NA	1	6	6	655	208	1	0.317557251908397	3.14903846153846	1	0.000975678638489542
Breast	NA	1	23	15	655	190	0.652173913043478	0.290076335877863	2.24828375286041	0.510051425899953	0.000264878884530407
Prostate	NA	1	28	23	655	264	0.821428571428571	0.403053435114504	2.03801406926407	0.70085860431129	4.65844096892307e-06
Melanoma	8	0.976248336577186	8	4	655	66	0.5	0.100763358778626	4.96212121212121	0.443972835314092	0.00484067292102242
Lung	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colorectal	8	1.07588634475299	8	6	655	208	0.75	0.317557251908397	2.36177884615385	0.633668903803132	0.0147205786021553
Breast	8	0.860584356811015	8	7	655	190	0.875	0.290076335877863	3.01644736842105	0.823924731182796	0.000961218309244239
Prostate	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Melanoma	10	1.01311766800648	10	6	655	66	0.6	0.100763358778626	5.95454545454545	0.555178268251273	0.000127977700459886
Lung	10	0.994758294156247	10	4	655	68	0.4	0.10381679389313	3.85294117647059	0.330494037478705	0.0138094424084657
Colorectal	10	1.09300993386951	10	8	655	208	0.8	0.317557251908397	2.51923076923077	0.706935123042506	0.00223231844734313
Breast	10	0.874219684852372	10	9	655	190	0.9	0.290076335877863	3.10263157894737	0.859139784946237	9.48082651899394e-05
Prostate	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Melanoma	15	1.07449156970782	15	8	655	66	0.533333333333333	0.100763358778626	5.29292929292929	0.481041312959819	2.56630836093191e-05
Lung	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colorectal	15	1.12350745697123	15	9	655	208	0.6	0.317557251908397	1.88942307692308	0.413870246085011	0.0211180144299553
Breast	15	0.897305926914788	15	11	655	190	0.733333333333333	0.290076335877863	2.5280701754386	0.624372759856631	0.000418231488600168
Prostate	15	0.906396990004376	15	12	655	264	0.8	0.403053435114504	1.98484848484849	0.664961636828645	0.001873579436798
Melanoma	20	1.13014164260066	20	11	655	66	0.55	0.100763358778626	5.45833333333333	0.499575551782683	3.94178012229595e-07
Lung	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colorectal	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Breast	20	0.965562447886123	20	13	655	190	0.65	0.290076335877863	2.24078947368421	0.506989247311828	0.000748700616053964
Prostate	20	0.936833948795692	20	17	655	264	0.85	0.403053435114504	2.10890151515152	0.748721227621483	4.14732871424237e-05
Melanoma	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lung	25	1.14424497723417	25	7	655	68	0.28	0.10381679389313	2.69705882352941	0.196592844974446	0.0100127987034359
Colorectal	25	1.15501617508065	25	14	655	208	0.56	0.317557251908397	1.76346153846154	0.355257270693512	0.00914576866192267
Breast	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Prostate	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
